id,name,price,description,badge,category,brand,image
154,XS MENTHOLYPTUS SUGAR FREE,$0.99 ,NEW*HALLS XS MENTHOLYPTUS SUGAR FREE,-10% OFF,Snacks,Halls,image0329.jpg
155,XS MIXED BERRY SUGAR FREE,$0.99 ,NEW*HALLS XS MIXED BERRY SUGAR FREE,,Candies,Halls,image0330.jpg
156,XS COLA CHILLI SUGAR FREE,$0.99 ,NEW*HALLS XS COLA CHILLI SUGAR FREE,,Drinks,Halls,image0331.jpg
157,XS LIME SUGAR FREE,$0.99 ,NEW*HALLS XS LIME SUGAR FREE,,Drinks,Halls,image0332.jpg
158,RELIEF COUGH & THROAT CHERRY BAG 30 DROPS,$3.90 ,HALLS RELIEF COUGH & THROAT CHERRY BAG 30 DROPS,HOT SALE,Drinks,Halls,image0333.jpg
159,HONEY LEMON BAG 30 DROPS RELIEF COUGH & THROAT,$3.90 ,HALLS HONEY LEMON BAG 30 DROPS RELIEF COUGH & THROAT,,Drinks,Halls,image0334.jpg
160,MENTHOL-LYPTUS BLUE BAG 30 DROPS RELIEF COUGH & THROAT,$3.90 ,HALLS MENTHOL-LYPTUS BLUE BAG 30 DROPS RELIEF COUGH & THROAT,,Drinks,Halls,image0335.jpg
161,GUM PURE FRESH CHEWING GUM FRESH MINT SUGAR FREE,$0.55 ,NEW*MENTOS GUM PURE FRESH CHEWING GUM FRESH MINT 15.75G SUGAR FREE,,Drinks,Mentos,image0336.jpg
162,GUM PURE FRESH CHEWING GUM SPEARMINT SUGAR FREE,$0.55 ,NEW*MENTOS GUM PURE FRESH CHEWING GUM SPEARMINT 15.75G SUGAR FREE,,Drinks,Mentos,image0337.jpg
163,GUM PURE FRESH CHEWING GUM STRAWBERY SUGAR FREE,$0.55 ,NEW*MENTOS GUM PURE FRESH CHEWING GUM STRAWBERY 15.75G SUGAR FREE,,Chocolates,Mentos,image0338.jpg
164,GUM PURE FRESH CHEWING GUM BUBBLE GUM SUGAR FREE,$0.55 ,NEW*MENTOS GUM PURE FRESH CHEWING GUM BUBBLE GUM 15.75G SUGAR FREE,,Drinks,Mentos,image0339.jpg
165,PEPPERMINT BTL SUGAR FREE*6,$1.80 ,MENTOS PEPPERMINT BTL SUGAR FREE*6,,Snacks,Mentos,image0340.jpg
166,FRESH ACTION BTL SUGAR FREE*6,$1.80 ,MENTOS FRESH ACTION BTL SUGAR FREE*6,,Snacks,Mentos,image0341.jpg
167,SPEARMINT BTL SUGAR FREE*6,$1.80 ,MENTOS SPEARMINT BTL SUGAR FREE*6,,Snacks,Mentos,image0342.jpg
168,PEPPERMINT BTL SUGAR FREE*6,$1.80 ,MENTOS PEPPERMINT BTL SUGAR FREE*6,,Candies,Mentos,image0343.jpg
169,STRAWBERRY PURE FRESH BTL SUGAR FREE*6,$1.80 ,MENTOS STRAWBERRY PURE FRESH BTL SUGAR FREE*6,HOT SALE,Snacks,Mentos,image0344.jpg
170,ORIGINAL,$1.25 ,SKITTLES ORIGINAL 27.3G,,Drinks,Skittles,image0345.jpg
171,WILD BERRY,$1.25 ,SKITTLES WILD BERRY 27.3G,,Chocolates,Skittles,image0346.jpg
172,FRUITS,$0.45 ,SKITTLES FRUITS 38G*14,,Snacks,Skittles,image0347.jpg
173,SMOOTHIE E,$0.45 ,SKITTLES SMOOTHIE 38G*14E,,Chocolates,Skittles,image0348.jpg
174,CRAZY SOUR,$0.45 ,SKITTLES CRAZY SOUR 38G*14,,Snacks,Skittles,image0349.jpg
175,TWISTS STRAWBERRY LOW FAT,$2.50 ,TWIZZLERS TWISTS STRAWBERRY 70G LOW FAT,,Candies,Twizzlers,image0350.jpg
176,CHERRY NIBS LOW FAT,$2.25 ,TWIZZLERS CHERRY NIBS 63G*36 LOW FAT,,Drinks,Twizzlers,image0351.jpg
177,BIG BABOL SPLOOSH STRAWBERRY COLA,$0.15 ,CHUPA CHUPS BIG BABOL SPLOOSH STRAWBERRY COLA,,Drinks,Chupa Chups,image0352.jpg
178,BIG BABOL WATERMELON,$0.15 ,CHUPA CHUPS BIG BABOL WATERMELON,,Drinks,Chupa Chups,image0353.jpg
179,BABOL BTL,$1.25 ,CHUPA CHUPS BABOL BTL 27.6G,,Chocolates,Chupa Chups,image0354.jpg
180,GUM BTL,$3.00 ,CHUPA CHUPS GUM BTL,,Drinks,Chupa Chups,image0355.jpg
181,BIG BABOL BUBBLE TUTTIFRUITI,$0.33 ,CHUPA CHUPS BIG BABOL BUBBLE TUTTIFRUITI 20G,,Chocolates,Chupa Chups,image0356.jpg
182,BIG BABOL STRAWBERRY,$0.33 ,CHUPA CHUPS BIG BABOL STRAWBERRY 20G,,Candies,Chupa Chups,image0357.jpg
183,CHUPS LOLIPOP,$0.15 ,CHUPA CHUPS LOLIPOP 9.3G*60,,Candies,Chupa Chups,image0358.jpg
184,CONDENSED MILK,$2.15 ,NESTLE CONDENSED MILK 370ML*12,HOT SALE,Drinks,Nestle,image0433.jpg
185,COCOA,$3.75 ,CADBURY COCOA 125G*12,-10% OFF,Candies,Cadbury,image0434.jpg
186,GOLD,$8.50 ,NESCAFE GOLD 190G,,Chocolates,Nescafe,image0435.jpg
187,COFFEE MATE ORIGINAL ZERO CHOLESTEROL,$2.75 ,COFFE MATE ORIGINAL ZERO CHOLESTEROL 400G*15,-10% OFF,Drinks,Nestle,image0436.jpg
188,COFFEE MATE FAT FREE,$3.50 ,COFFE MATE FAT FREE 453.5G*12,,Candies,Nestle,image0437.jpg
189,LIGHT,$3.00 ,LESIEUR LIGHT 250ML*12,,Snacks,Lesieur,image0438.jpg
190,SAUCE GREEN,$1.50 ,TABASCO SAUCE GREEN 60ML*12,,Drinks,Tabasco,image0439.jpg
